Year,Event,Athlete,Medal,Country,Result
1896,Long Jump Men,Ellery Clark,GOLD,USA,6.35
1896,,Bob Garrett,SILVER,USA,6.18
1896,,James Connolly,BRONZE,USA,6.11
1900,Long Jump Men,Alvin Kraenzlein,GOLD,USA,7.185
1900,,Meyer Prinstein,SILVER,USA,7.17
1900,,Patrick Leahy,BRONZE,GBR,6.95
1904,Long Jump Men,Meyer Prinstein,GOLD,USA,7.34
1904,,Daniel Frank,SILVER,USA,6.89
1904,,Robert Stangland,BRONZE,USA,6.88
1906,Long Jump Men,Meyer Prinstein,GOLD,USA,7.2
1906,,Peter O'Connor,SILVER,GBR,7.02
1906,,Hugo Friend,BRONZE,USA,6.96
1908,Long Jump Men,Frank Irons,GOLD,USA,7.48
1908,,Dan Kelly,SILVER,USA,7.09
1908,,Calvin Bricker,BRONZE,CAN,7.08
1912,Long Jump Men,Albert Gutterson,GOLD,USA,7.6
1912,,Calvin Bricker,SILVER,CAN,7.21
1912,,Georg Åberg,BRONZE,SWE,7.18
1920,Long Jump Men,William Petersson,GOLD,SWE,7.15
1920,,Carl Johnson,SILVER,USA,7.09
1920,,Erik Abrahamsson,BRONZE,SWE,7.08
1924,Long Jump Men,DeHart Hubbard,GOLD,USA,7.44
1924,,Edward Gourdin,SILVER,USA,7.275
1924,,Sverre Hansen,BRONZE,NOR,7.26
1928,Long Jump Men,Ed Hamm,GOLD,USA,7.73
1928,,Sylvio Cator,SILVER,HAI,7.58
1928,,Alfred Bates,BRONZE,USA,7.4
1932,Long Jump Men,Ed Gordon,GOLD,USA,7.64
1932,,Charles Redd,SILVER,USA,7.6
1932,,Chuhei Nambu,BRONZE,JPN,7.45
1936,Long Jump Men,Jesse Owens,GOLD,USA,8.06
1936,,Lutz Long,SILVER,GER,7.87
1936,,Naoto Tajima,BRONZE,JPN,7.74
1948,Long Jump Men,Willie Steele,GOLD,USA,7.825
1948,,Theodore Bruce,SILVER,AUS,7.55
1948,,Herbert Douglas,BRONZE,USA,7.54
1952,Long Jump Men,Jerome Biffle,GOLD,USA,7.57
1952,,Meredith Gourdine,SILVER,USA,7.53
1952,,Ödön Földessy,BRONZE,HUN,7.3
1956,Long Jump Men,Greg Bell,GOLD,USA,7.83
1956,,John Bennett,SILVER,USA,7.68
1956,,Jorma Valkama,BRONZE,FIN,7.48
1960,Long Jump Men,Ralph Boston,GOLD,USA,8.12
1960,,Bo Roberson,SILVER,USA,8.11
1960,,Igor Ter-Ovanesyan,BRONZE,URS,8.04
1964,Long Jump Men,Lynn Davies,GOLD,GBR,8.07
1964,,Ralph Boston,SILVER,USA,8.03
1964,,Igor Ter-Ovanesyan,BRONZE,URS,7.99
1968,Long Jump Men,Bob Beamon,GOLD,USA,8.9
1968,,Klaus Beer,SILVER,GDR,8.19
1968,,Ralph Boston,BRONZE,USA,8.16
1972,Long Jump Men,Randy Williams,GOLD,USA,8.24
1972,,Hans Baumgartner,SILVER,FRG,8.18
1972,,Arni Robinson,BRONZE,USA,8.03
1976,Long Jump Men,Arni Robinson,GOLD,USA,8.35
1976,,Randy Williams,SILVER,USA,8.11
1976,,Frank Wartenberg,BRONZE,GDR,8.02
1980,Long Jump Men,Lutz Dombrowski,GOLD,GDR,8.54
1980,,Frank Paschek,SILVER,GDR,8.21
1980,,Valery Podluzhnyi,BRONZE,URS,8.18
1984,Long Jump Men,Carl Lewis,GOLD,USA,8.54
1984,,Gary Honey,SILVER,AUS,8.24
1984,,Giovanni Evangelisti,BRONZE,ITA,8.24
1988,Long Jump Men,Carl Lewis,GOLD,USA,8.72
1988,,Michael Powell,SILVER,USA,8.49
1988,,Larry Myricks,BRONZE,USA,8.27
1992,Long Jump Men,Carl Lewis,GOLD,USA,8.67
1992,,Michael Powell,SILVER,USA,8.64
1992,,Joe Greene,BRONZE,USA,8.34
1996,Long Jump Men,Carl Lewis,GOLD,USA,8.5
1996,,James Beckford,SILVER,JAM,8.29
1996,,Joe Greene,BRONZE,USA,8.24
2000,Long Jump Men,Ivan Pedroso,GOLD,CUB,8.55
2000,,Jai Taurima,SILVER,AUS,8.49
2000,,Roman Schurenko,BRONZE,UKR,8.31
2004,Long Jump Men,Dwight Phillips,GOLD,USA,8.59
2004,,John Moffitt,SILVER,USA,8.47
2004,,Joan Lino Martinez,BRONZE,ESP,8.32
2008,Long Jump Men,Irving Saladino,GOLD,PAN,8.34
2008,,Khotso Mokoena,SILVER,RSA,8.24
2008,,Ibrahim Camejo,BRONZE,CUB,8.2
